a,b,weight,relationship
JKHY,PEP,0.5988367940463835,MST
JNJ,PFE,0.6435322629626521,MST
JNJ,SJM,0.6910019321385739,MST
JNPR,LMT,0.46664926721616706,MST
JPM,NWSA,0.5881103663371094,MST
K,PPL,0.49914786244195886,MST
KDP,PEP,0.8110866019805673,MST
KHC,STZ,0.6053053093537979,MST
KIM,SPG,0.7328209679964052,MST
KIM,UDR,0.7887164605969826,MST
KKR,PNR,0.7454942428448592,MST
KKR,PYPL,0.6521896790257351,MST
KLAC,LRCX,0.853914283464226,MST
KMB,PG,0.7943986714754572,MST
KMB,SO,0.6843463262608964,MST
KMI,PEG,0.7975766256157776,MST
KMI,WMB,0.8884635195243332,MST
KO,SO,0.6919299283698153,MST
KVUE,MNST,0.584014614171658,MST
LH,RVTY,0.6033885330363007,MST
LHX,LMT,0.7741424192172508,MST
LII,PKG,0.712429424329101,MST
LKQ,PPG,0.5582051315739559,MST
LMT,NOC,0.7173372117482162,MST
LMT,SYY,0.5895090327484593,MST
LNT,PNW,0.8204839810240266,MST
LNT,WEC,0.8523668468754436,MST
LNT,XEL,0.8376697204195283,MST
LOW,MAS,0.7902641580844112,MST
LOW,SHW,0.7289895067487787,MST
LOW,TGT,0.45500256680709206,MST
LRCX,MU,0.7549552038168783,MST
LULU,ULTA,0.5251436537974965,MST
LUV,UAL,0.5527901797701121,MST
LVS,WYNN,0.7062338588569199,MST
LW,VRTX,0.6433042646525603,MST
LYV,SRE,0.5852345301745066,MST
MA,V,0.8660897716869715,MST
MAA,UDR,0.9097225933721574,MST
MAS,MHK,0.7733937725105544,MST
MAS,NVR,0.8044873109173285,MST
MAS,SWK,0.7465052228508784,MST
MCD,YUM,0.5914665103935098,MST
MCHP,NXPI,0.8011144784081312,MST
MCO,MGM,0.6456078234098648,MST
MCO,NDAQ,0.6953456172588165,MST
MCO,SPGI,0.8348132170963217,MST
MCO,TYL,0.6790023822355837,MST
MET,PRU,0.721138629662164,MST
MLM,SW,0.6423380243333505,MST
MLM,VMC,0.8768550571479193,MST
MO,VZ,0.6068738281044501,MST
MPC,PSX,0.8513385798775813,MST
MPC,VLO,0.8815185854451107,MST
MPC,XOM,0.7648328840298607,MST
MS,RJF,0.841590675818492,MST
MSCI,PKG,0.6294956818530717,MST
MSFT,NOW,0.781049743746029,MST
MSFT,TER,0.6252558345203157,MST
MTB,PNC,0.8708441764484577,MST
MTB,RF,0.8640571474072148,MST
MTB,USB,0.8323831469004425,MST
MTB,WFC,0.7951568191598604,MST
MTD,RVTY,0.7925518018096561,MST
MU,WDC,0.7564336809953232,MST
NDSN,POOL,0.6812798079580914,MST
NI,WMB,0.7420783387691828,MST
NKE,SNA,0.5039834901815956,MST
NOW,UPS,0.6420854537505817,MST
NOW,WDAY,0.5423262055602718,MST
NRG,VST,0.873813438833576,MST
NSC,UNP,0.7205932440080801,MST
NTRS,STT,0.7947920570707161,MST
NUE,STLD,0.915790396351762,MST
NUE,WY,0.5576371064938663,MST
NVR,PHM,0.8781392606559951,MST
NVR,POOL,0.7612370673046894,MST
NWS,NWSA,0.931446822987184,MST
NXPI,ON,0.7467543912102762,MST
O,VICI,0.7793177258828342,MST
OKE,TRGP,0.8647738546583544,MST
OMC,PRU,0.5904740075028151,MST
PARA,WBD,0.6415238207437063,MST
PCG,XEL,0.5734234725556652,MST
PEG,VST,0.7700425603964342,MST
PFG,PRU,0.6778634741291559,MST
PH,URI,0.652593535633836,MST
PH,VMC,0.7010832154060277,MST
PM,YUM,0.779696109064688,MST
PNC,PRU,0.7377599692836413,MST
PRU,TROW,0.7013271702419274,MST
PTC,SWKS,0.7717135581870745,MST
QCOM,WDC,0.6509543800821999,MST
RJF,RL,0.5865748900613288,MST
RL,TPR,0.8178877217393742,MST
ROP,WM,0.651128948322908,MST
ROST,TJX,0.5482369260088988,MST
RSG,WM,0.8022259749032298,MST
RVTY,TECH,0.7402567135693777,MST
RVTY,TMO,0.6942442873404712,MST
SBAC,ZTS,0.5656939815213108,MST
SCHW,SPGI,0.6155134256022096,MST
SHW,TJX,0.6050122090120795,MST
SO,WEC,0.8216756931769096,MST
STX,TEL,0.7108558644918392,MST
SW,WAB,0.6507113521555816,MST
T,VZ,0.6238330561285605,MST
TAP,VTR,0.6172523068748798,MST
TFX,VTRS,0.9005024570416146,MST
TPL,TRGP,0.6024858459178951,MST
TRGP,WMB,0.810093011329662,MST
TRMB,ZBRA,0.5564699646179545,MST
TRV,WRB,0.7620879130673727,MST
TSCO,UPS,0.5539486283207197,MST
VRSK,XEL,0.7085043466063345,MST
VTR,WELL,0.7585100995938767,MST
WST,ZBRA,0.5330204780468946,MST
